Posture Duration (s),Rear Left Paw Posed Duration (s),Rear Right Paw Posed Duration (s),Rear Paws Posed Duration (s),Rear Together Paws Posed Duration (s),Rearing Duration (s),Front Left Paw Posed Duration (s),Front Right Paw Posed Duration (s),Front Paws Posed Duration (s),Front Together Paws Posed Duration (s),Other Paw Posed Duration (s),Posture Duration (s).1,Rear Left Paw Weight (g),Rear Right Paw Weight (g),Rear Paws Weight (g),Rear Together Paws Weight (g),Rearing Weight (g),Front Left Paw Weight (g),Front Right Paw Weight (g),Front Paws Weight (g),Front Together Paws Weight (g),Other Paw Weight (g),Front/Rear Weight Ratio,Left/Right Weight Ratio,Rear Left/Rear Right Weight Ratio,Posture Duration (s).2,Rear Left Paw Area (mm¬?),Rear Right Paw Area (mm¬?),Rear Paws Area (mm¬?),Rear Together Paws Area (mm¬?),Rearing Area (mm¬?),Front Left Paw Area (mm¬?),Front Right Paw Area (mm¬?),Front Paws Area (mm¬?),Front Together Paws Area (mm¬?),Other Paw Area (mm¬?),Front/Rear Area Ratio,Left/Right Area Ratio,Rear Left/Rear Right Area Ratio,Timepoint,Mouse_number,Day_timepoint,Front Left Paw Weight (%),Front Right Paw Weight (%),Front Paws Weight (%),Front Together Paws Weight (%),Rear Left Paw Weight (%),Rear Right Paw Weight (%),Rear Paws Weight (%),Rear Together Paws Weight (%),Rearing Weight (%),Other Paw Weight (%),Sample_group,Sample_name
57.75,57.414,57.414,57.75,57.75,47.56,5.282,9.11,10.19,4.205,0,57.75,12.54,11.77,24.31,24.31,25.05,0.38,0.74,6.35,8.25,0,0.26,1.03,1.07,57.75,16.54,15.57,32.11,32.11,33.57,0.58,0.94,8.57,12.35,0,0.27,1.04,1.06,6,92,77,,,,,,,,,,,107455,92
56.01,55.55,55.55,56.01,56.01,28.986,24.179,26.852,27.024,24.336,0,56.01,10.24,15.46,25.7,25.7,26.42,1.45,1.36,5.81,6.07,0,0.23,0.69,0.66,56.01,14.2,16.03,30.23,30.23,34.79,2.88,3.82,13.89,14.33,0,0.46,0.86,0.89,7,92,91,,,,,,,,,,,107455,92
58.877,58.505,58.505,58.877,58.877,5.151,49.695,53.39,53.726,50.045,6.626,58.877,15.52,19.78,35.3,35.3,46.47,8.2,7.07,16.74,17.46,0.3,0.47,0.88,0.78,58.877,18.7,21.61,40.31,40.31,46.02,10.47,10.72,23.23,24.18,0.82,0.58,0.9,0.87,1,150,0,,,,,,,,,,,97479,150
47.136,46.862,46.862,47.136,47.136,22.606,13.871,16.484,24.53,6.016,8.931,47.136,17.74,15.46,33.2,33.2,37.3,3.18,3.18,12.25,14.84,2.13,0.37,1.12,1.15,47.136,25.18,23,48.19,48.19,46.77,6.09,6.39,24.01,31.85,6.11,0.5,1.06,1.09,2,150,274,,,,,,,,,,,97479,150
45.857,45.605,45.605,45.857,45.857,14.61,26.348,28.919,31.247,24.349,4.58,45.857,19.39,17.47,36.87,36.87,45.96,6.15,5.48,17.08,18.37,0.31,0.46,1.11,1.11,45.857,20.13,19.18,39.31,39.31,48.4,9.58,9.03,27.32,29.95,1.01,0.69,1.05,1.05,3,150,294,,,,,,,,,,,97479,150
47.394,47.1,47.1,47.394,47.394,9.843,30.235,27.265,37.551,20.352,32.111,47.394,13.97,17.19,31.16,31.16,38.92,5.83,5.71,14.56,18.73,3.98,0.47,0.86,0.81,47.394,19.78,25.14,44.92,44.92,58.27,8.14,7.69,19.97,24.5,9.73,0.44,0.85,0.79,4,150,308,,,,,,,,,,,97479,150
46.803,46.49,46.49,46.803,46.803,3.551,42.94,42.94,43.252,43.252,13.554,46.803,14.97,16.2,31.17,31.17,42.55,11.84,7.31,20.71,20.71,0.78,0.66,1.14,0.92,46.803,17.66,18.4,36.06,36.06,46.65,14.06,12.55,28.79,28.79,1.54,0.8,1.02,0.96,5,150,323,,,,,,,,,,,97479,150
53.922,53.623,53.623,53.922,53.922,0,53.623,48.038,53.922,48.321,44.573,53.922,10.38,14.48,24.86,24.86,0,12.05,10.86,22.9,22.6,6.92,0.92,0.88,0.72,53.922,17.36,18.15,35.5,35.5,0,16.02,15.52,31.54,32.89,21.63,0.89,0.99,0.96,6,150,337,,,,,,,,,,,97479,150
7.202,7.128,7.128,7.202,7.202,1.2,5.94,5.94,6.002,6.002,0,7.202,19.51,17.43,36.94,36.94,49.02,8.67,7.36,19.24,19.24,0,0.52,1.14,1.12,7.202,24.7,22.06,46.76,46.76,55.18,12.35,9.56,26.29,26.29,0,0.56,1.17,1.12,7,150,351,,,,,,,,,,,97479,150
76.83,76.443,76.443,76.83,76.83,73.6,3.201,0,3.23,0,0,76.83,12.59,14.79,27.38,27.38,27.82,0.41,0,9.62,0,0,0.35,0.88,0.85,76.83,17.26,18.03,35.29,35.29,35.47,0.68,0,16.11,0,0,0.46,0.99,0.96,1,93,0,,,,,,,,,,,107455,93
